Date,Open,High,Low,Close,Adj Close,Volume
2020-02-24,11086.000000,11086.849609,10650.070313,10712.839844,10712.839844,126829400
2020-02-25,10749.589844,10779.150391,10467.209961,10478.509766,10478.509766,102515000
2020-02-26,10405.299805,10546.669922,10216.549805,10512.150391,10512.150391,114156000
2020-02-27,10456.820313,10461.169922,10094.919922,10205.459961,10205.459961,144743200
2020-02-28,10205.459961,10205.459961,9725.320313,9831.030273,9831.030273,183600400
2020-03-02,9844.269531,10136.620117,9790.419922,9950.830078,9950.830078,155090700
2020-03-03,9999.519531,10286.290039,9990.610352,10087.400391,10087.400391,139053100
2020-03-04,10128.759766,10296.030273,10072.230469,10251.389648,10251.389648,103471100
2020-03-05,10303.759766,10321.419922,10045.099609,10143.570313,10143.570313,106754000
2020-03-06,10139.780273,10142.309570,9652.509766,9736.820313,9736.820313,142806600
2020-03-09,9736.820313,9736.820313,9059.110352,9196.599609,9196.599609,223193300
2020-03-10,9247.639648,9576.040039,9150.540039,9195.929688,9195.929688,194117000
2020-03-11,9256.450195,9373.919922,9130.190430,9152.500000,9152.500000,146253700
2020-03-12,9152.500000,9152.500000,8168.859863,8270.440430,8270.440430,265735200
2020-03-13,8282.509766,9042.540039,8266.480469,8367.559570,8367.559570,231693100
2020-03-16,8360.089844,8391.209961,7650.229980,8227.080078,8227.080078,203959400
2020-03-17,8227.080078,8627.480469,7953.529785,8493.040039,8493.040039,154196900
2020-03-18,8493.040039,8493.040039,8094.899902,8338.740234,8338.740234,211120400
2020-03-19,8361.089844,8782.240234,8327.860352,8782.240234,8782.240234,187655200
2020-03-20,8782.150391,9174.580078,8623.860352,8623.860352,8623.860352,255263700
2020-03-23,8623.860352,8642.419922,8160.790039,8160.790039,8160.790039,150088900
2020-03-24,8187.509766,8733.320313,8187.020020,8733.320313,8733.320313,140992000
2020-03-25,8772.019531,9136.830078,8664.440430,8989.160156,8989.160156,148182700
2020-03-26,8895.179688,9203.980469,8824.160156,9203.980469,9203.980469,125626100
2020-03-27,9174.950195,9192.969727,8868.049805,8996.370117,8996.370117,110296800
2020-03-30,9047.709961,9174.389648,8866.349609,9174.389648,9174.389648,94710900
2020-03-31,9184.780273,9370.849609,9155.110352,9311.919922,9311.919922,107286200
2020-04-01,9311.919922,9311.919922,9036.730469,9168.980469,9168.980469,88874800
2020-04-02,9212.089844,9318.610352,9075.150391,9270.959961,9270.959961,83439000
2020-04-03,9281.330078,9309.870117,9219.099609,9242.440430,9242.440430,70420600
2020-04-06,9259.730469,9522.110352,9259.089844,9462.339844,9462.339844,81874800
2020-04-07,9470.480469,9695.839844,9450.750000,9514.599609,9514.599609,98119700
2020-04-08,9427.410156,9452.940430,9350.219727,9432.389648,9432.389648,70188800
2020-04-09,9465.860352,9550.370117,9321.929688,9452.830078,9452.830078,96880600
2020-04-14,9507.459961,9613.769531,9499.230469,9538.610352,9538.610352,78263800
2020-04-15,9529.679688,9568.099609,9309.940430,9320.200195,9320.200195,82825400
2020-04-16,9416.200195,9474.799805,9381.200195,9439.910156,9439.910156,89572200
2020-04-17,9455.160156,9663.030273,9453.660156,9612.830078,9612.830078,116140800
2020-04-20,9669.320313,9785.269531,9583.669922,9785.269531,9785.269531,67183500
2020-04-21,9734.959961,9762.740234,9544.469727,9547.849609,9547.849609,73139400
2020-04-22,9620.889648,9650.580078,9566.540039,9630.559570,9630.559570,62898100
2020-04-23,9625.750000,9701.599609,9529.990234,9625.480469,9625.480469,75278400
2020-04-24,9560.000000,9679.690430,9552.349609,9625.650391,9625.650391,69740700
2020-04-27,9610.400391,9784.589844,9610.400391,9758.820313,9758.820313,77380000
2020-04-28,9787.389648,9948.839844,9780.950195,9889.459961,9889.459961,117984300
2020-04-29,9847.410156,9895.009766,9799.080078,9865.320313,9865.320313,106556400
2020-04-30,9850.870117,9877.299805,9629.400391,9629.400391,9629.400391,113042100
2020-05-04,9618.929688,9619.379883,9389.660156,9390.269531,9390.269531,104022600
2020-05-05,9444.580078,9512.169922,9416.139648,9512.169922,9512.169922,79360900
2020-05-06,9506.280273,9597.330078,9480.099609,9571.700195,9571.700195,68767700
2020-05-07,9609.129883,9635.959961,9555.610352,9617.980469,9617.980469,65780900
2020-05-08,9666.660156,9688.629883,9628.759766,9665.349609,9665.349609,43191400
2020-05-11,9679.530273,9726.240234,9590.740234,9689.709961,9689.709961,55080300
2020-05-12,9693.059570,9760.540039,9674.070313,9733.530273,9733.530273,54570300
2020-05-13,9679.879883,9694.360352,9621.490234,9631.620117,9631.620117,78830600
2020-05-14,9581.599609,9592.500000,9393.469727,9448.139648,9448.139648,94220400
2020-05-15,9526.440430,9576.570313,9474.139648,9483.099609,9483.099609,71676100
2020-05-18,9536.719727,9740.769531,9533.799805,9740.769531,9740.769531,74284300
2020-05-19,9741.209961,9785.179688,9703.610352,9764.230469,9764.230469,80453000
2020-05-20,9731.900391,9790.849609,9716.750000,9790.849609,9790.849609,60840300
2020-05-22,9713.750000,9729.290039,9604.370117,9688.990234,9688.990234,72600200
2020-05-25,9743.129883,9832.349609,9711.750000,9824.540039,9824.540039,42222900
2020-05-26,9879.059570,9884.330078,9790.250000,9830.830078,9830.830078,81597300
2020-05-27,9853.900391,9856.910156,9673.150391,9716.519531,9716.519531,115382400
2020-05-28,9776.929688,9966.049805,9769.450195,9926.030273,9926.030273,101197200
2020-05-29,9918.500000,9944.530273,9823.730469,9831.490234,9831.490234,135187200
2020-06-02,9874.839844,9979.179688,9872.959961,9951.450195,9951.450195,93010000
2020-06-03,9962.219727,10183.849609,9954.089844,10183.769531,10183.769531,112950100
2020-06-04,10152.589844,10203.910156,10024.019531,10075.679688,10075.679688,97600400
2020-06-05,10082.559570,10190.370117,10061.830078,10190.370117,10190.370117,100087300
