Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,7621.100098,7701.600098,7583.899902,7628.600098,7628.600098,63014000
2006-01-04,7691.000000,7726.600098,7629.200195,7723.700195,7723.700195,58171200
2006-01-05,7721.500000,7735.100098,7681.799805,7703.299805,7703.299805,51305600
2006-01-06,7704.399902,7720.700195,7691.899902,7718.500000,7718.500000,44831600
2006-01-09,7736.500000,7743.600098,7709.799805,7715.600098,7715.600098,68605800
2006-01-10,7690.399902,7703.100098,7644.700195,7663.700195,7663.700195,61882200
2006-01-11,7695.899902,7753.799805,7687.100098,7752.100098,7752.100098,76435400
2006-01-12,7759.500000,7801.000000,7757.399902,7798.100098,7798.100098,61077400
2006-01-13,7783.700195,7802.500000,7734.600098,7802.500000,7802.500000,65643800
2006-01-16,7781.200195,7837.100098,7769.700195,7835.700195,7835.700195,42653200
2006-01-17,7787.100098,7801.299805,7766.700195,7785.600098,7785.600098,62479000
2006-01-18,7672.500000,7748.399902,7654.700195,7726.500000,7726.500000,78445800
2006-01-19,7745.899902,7771.600098,7713.799805,7771.600098,7771.600098,70505400
2006-01-20,7761.799805,7804.399902,7697.399902,7697.500000,7697.500000,57736800
2006-01-23,7696.600098,7708.500000,7593.100098,7702.700195,7702.700195,64394400
2006-01-24,7706.399902,7753.000000,7673.700195,7692.600098,7692.600098,69461000
2006-01-25,7707.899902,7712.500000,7657.200195,7682.700195,7682.700195,76010800
2006-01-26,7716.200195,7752.100098,7705.000000,7749.399902,7749.399902,83649400
2006-01-27,7855.000000,7856.299805,7774.399902,7779.399902,7779.399902,61100000
2006-01-30,7797.799805,7821.100098,7778.600098,7789.299805,7789.299805,39716800
2006-01-31,7814.500000,7832.399902,7772.100098,7810.899902,7810.899902,54150000
2006-02-01,7818.299805,7853.799805,7807.299805,7836.200195,7836.200195,70141400
2006-02-02,7860.000000,7874.899902,7785.899902,7785.899902,7785.899902,78552400
2006-02-03,7799.600098,7847.200195,7788.799805,7840.799805,7840.799805,61550400
2006-02-06,7842.100098,7901.299805,7823.600098,7839.600098,7839.600098,76139400
2006-02-07,7846.700195,7878.200195,7810.500000,7837.299805,7837.299805,53520200
2006-02-08,7788.799805,7868.000000,7772.600098,7831.899902,7831.899902,77023400
2006-02-09,7875.799805,7893.600098,7859.500000,7873.600098,7873.600098,65802800
2006-02-10,7876.100098,7903.299805,7857.299805,7861.600098,7861.600098,61661200
2006-02-13,7842.000000,7889.500000,7813.000000,7889.299805,7889.299805,74364200
2006-02-14,7899.100098,7938.200195,7845.000000,7882.399902,7882.399902,50198800
2006-02-15,7859.100098,7867.000000,7789.000000,7797.200195,7797.200195,86681800
2006-02-16,7848.700195,7906.600098,7821.200195,7906.600098,7906.600098,95530200
2006-02-17,7929.000000,7932.200195,7885.500000,7917.100098,7917.100098,62190600
2006-02-20,7917.100098,7956.200195,7902.500000,7950.200195,7950.200195,50141000
2006-02-21,7973.799805,8009.200195,7968.100098,8002.600098,8002.600098,57277800
2006-02-22,7984.399902,8046.600098,7983.200195,8040.500000,8040.500000,59762000
2006-02-23,8046.899902,8048.200195,7983.799805,7983.799805,7983.799805,102808800
2006-02-24,7988.899902,7996.000000,7938.100098,7954.299805,7954.299805,69914000
2006-02-27,7979.200195,7995.299805,7923.200195,7995.000000,7995.000000,102866800
2006-02-28,7992.299805,8010.700195,7873.200195,7892.600098,7892.600098,184035000
2006-03-01,7891.799805,7980.600098,7886.600098,7980.399902,7980.399902,91091800
2006-03-02,7980.500000,7990.700195,7917.899902,7926.200195,7926.200195,83646800
2006-03-03,7902.500000,7952.200195,7880.000000,7916.000000,7916.000000,55444600
2006-03-06,7941.000000,7949.600098,7913.600098,7917.200195,7917.200195,55962400
2006-03-07,7878.100098,7880.899902,7807.500000,7864.299805,7864.299805,91461200
2006-03-08,7879.600098,7886.000000,7779.500000,7831.500000,7831.500000,105710600
2006-03-09,7878.700195,7893.799805,7847.100098,7860.700195,7860.700195,127756800
2006-03-10,7836.700195,7970.600098,7831.700195,7970.600098,7970.600098,93242800
2006-03-13,8002.799805,8054.299805,7995.000000,8035.399902,8035.399902,87019800
2006-03-14,8009.000000,8064.899902,8004.899902,8034.200195,8034.200195,62679000
2006-03-15,8073.000000,8080.000000,8012.200195,8012.600098,8012.600098,74989600
2006-03-16,8024.799805,8031.500000,7993.000000,8018.000000,8018.000000,60427600
2006-03-17,8077.500000,8090.200195,8035.500000,8047.100098,8047.100098,186816800
2006-03-20,8084.000000,8108.299805,8053.799805,8059.399902,8059.399902,68618000
2006-03-21,8056.600098,8072.899902,8024.000000,8056.600098,8056.600098,101928600
2006-03-22,8032.700195,8070.399902,8020.000000,8064.000000,8064.000000,123959400
2006-03-23,8085.000000,8088.700195,8000.899902,8024.100098,8024.100098,47594600
2006-03-24,8021.600098,8057.000000,8018.299805,8045.100098,8045.100098,36712200
2006-03-27,8053.100098,8059.500000,7980.100098,7980.899902,7980.899902,78164000
2006-03-28,7982.899902,8018.100098,7965.899902,7972.899902,7972.899902,44138600
2006-03-29,7972.100098,7996.399902,7946.600098,7983.399902,7983.399902,44229800
2006-03-30,8013.700195,8042.899902,7988.500000,8035.299805,8035.299805,43430400
2006-03-31,8013.500000,8039.799805,7995.799805,8023.299805,8023.299805,39667000
2006-04-03,8072.000000,8088.000000,8057.600098,8078.500000,8078.500000,82249200
2006-04-04,8066.899902,8074.899902,8036.500000,8051.600098,8051.600098,99759800
2006-04-05,8076.100098,8095.200195,8049.899902,8090.500000,8090.500000,76151200
2006-04-06,8114.299805,8129.600098,8091.799805,8102.299805,8102.299805,96690400
2006-04-07,8114.000000,8133.399902,8090.600098,8105.200195,8105.200195,78395200
2006-04-10,8090.899902,8111.299805,8073.600098,8109.299805,8109.299805,59308000
2006-04-11,8121.899902,8129.700195,8001.299805,8029.100098,8029.100098,83480000
2006-04-12,7990.600098,8005.399902,7946.899902,7976.600098,7976.600098,88522400
